index,name,k2,K1,rAC,rcat,kg(473K),kg(673K),kg(873K),pg(473K),pg(673K),pg(873K),reff(Tg=473K),reff(Tg=673K),reff(Tg=873K)
72,coords_1Kps_022_0004,5.513816e+02,6.780609e-02,3.632493e+01,3.632491e+01,2.508234e+00,1.575028e+04,1.957521e+06,1.000000e+00,1.000000e+00,1.000000e+00,3.632491e+01,3.632491e+01,3.632491e+01
73,coords_1Kps_022_0109,3.295866e+02,1.489961e+01,3.096084e+02,3.096072e+02,1.386041e+01,5.020693e+04,4.704432e+06,1.000000e+00,1.000000e+00,1.000000e+00,3.096072e+02,3.096072e+02,3.096072e+02
74,coords_1Kps_022_0206,7.971331e+04,1.052868e+00,4.166587e+04,4.164460e+04,1.327194e-05,3.395851e+00,3.129041e+03,4.665555e-02,1.000000e+00,1.000000e+00,1.942952e+03,4.164460e+04,4.164460e+04
75,coords_1Kps_022_0308,7.458887e+03,1.348313e+01,6.962422e+03,6.961828e+03,5.530938e-06,1.669774e+00,1.690228e+03,1.971445e-02,1.000000e+00,1.000000e+00,1.372486e+02,6.961828e+03,6.961828e+03
76,coords_1Kps_022_0507,4.399605e+03,1.309765e+01,4.098737e+03,4.098531e+03,6.881226e+01,1.821924e+05,1.439979e+07,1.000000e+00,1.000000e+00,1.000000e+00,4.098531e+03,4.098531e+03,4.098531e+03
77,coords_1Kps_023_0001,1.339308e+04,2.103036e-01,2.403793e+03,2.403722e+03,1.759884e+01,6.722411e+04,6.469318e+06,1.000000e+00,1.000000e+00,1.000000e+00,2.403722e+03,2.403722e+03,2.403722e+03
78,coords_1Kps_024_0003,3.909919e+04,1.094586e+00,2.081568e+04,2.081037e+04,2.868015e+01,9.155350e+04,7.976958e+06,1.000000e+00,1.000000e+00,1.000000e+00,2.081037e+04,2.081037e+04,2.081037e+04
79,coords_1Kps_024_0102,4.747421e+04,1.434015e-02,6.976904e+02,6.976845e+02,5.693786e+01,1.569767e+05,1.270221e+07,1.000000e+00,1.000000e+00,1.000000e+00,6.976845e+02,6.976845e+02,6.976845e+02
80,coords_1Kps_025_0001,3.628084e+03,9.132997e+00,3.282531e+03,3.282399e+03,5.851276e-01,5.717861e+03,8.928704e+05,1.000000e+00,1.000000e+00,1.000000e+00,3.282399e+03,3.282399e+03,3.282399e+03
81,coords_1Kps_025_0203,4.195696e+04,2.205584e-01,7.829127e+03,7.828376e+03,3.076071e+01,1.087422e+05,9.985652e+06,1.000000e+00,1.000000e+00,1.000000e+00,7.828376e+03,7.828376e+03,7.828376e+03
82,coords_1Kps_025_0405,5.659994e+03,1.424557e+00,3.379304e+03,3.379164e+03,2.405002e+01,7.969087e+04,7.070857e+06,1.000000e+00,1.000000e+00,1.000000e+00,3.379164e+03,3.379164e+03,3.379164e+03
83,coords_1Kps_026_0001,2.253005e+04,6.523588e+00,1.963612e+04,1.963140e+04,2.966901e+01,9.370880e+04,8.185053e+06,1.000000e+00,1.000000e+00,1.000000e+00,1.963140e+04,1.963140e+04,1.963140e+04
84,coords_1Kps_026_0205,6.419171e+03,3.885668e+00,5.145915e+03,5.145590e+03,3.769433e+01,1.111444e+05,9.435085e+06,1.000000e+00,1.000000e+00,1.000000e+00,5.145590e+03,5.145590e+03,5.145590e+03
85,coords_1Kps_026_0304,3.507219e+03,1.261474e-01,4.067991e+02,4.067971e+02,5.423965e+01,1.480884e+05,1.184189e+07,1.000000e+00,1.000000e+00,1.000000e+00,4.067971e+02,4.067971e+02,4.067971e+02
86,coords_1Kps_027_0004,1.858271e+04,1.748893e-01,2.860031e+03,2.859931e+03,1.613033e+01,6.029610e+04,5.770484e+06,1.000000e+00,1.000000e+00,1.000000e+00,2.859931e+03,2.859931e+03,2.859931e+03
87,coords_1Kps_027_0102,1.774112e+04,1.980461e+00,1.194319e+04,1.194144e+04,1.291657e-04,1.582362e+01,9.737517e+03,3.718626e-01,1.000000e+00,1.000000e+00,4.440576e+03,1.194144e+04,1.194144e+04
88,coords_1Kps_027_0305,2.745395e+04,2.687440e+00,2.022017e+04,2.021516e+04,1.527441e+01,6.839621e+04,7.199869e+06,1.000000e+00,1.000000e+00,1.000000e+00,2.021516e+04,2.021516e+04,2.021516e+04
