index,name,k2,K1,rAC,rcat,kg(473K),kg(673K),kg(873K),pg(473K),pg(673K),pg(873K),reff(Tg=473K),reff(Tg=673K),reff(Tg=873K),r1,r2,shaft_length,theta1,theta2,torsion
54,coords_1Kps_016_0104,5471.781,13.70228,5113.021,5112.701,17.46315,65168.72,6148207.0,1.0,1.0,1.0,5112.701,5112.701,5112.701,5.1067535607634795,0.0006766679621175165,4.332709973374777,188.54420677756912,17.202733572475196,11.998889598322139
55,coords_1Kps_016_0205,8019.667,17.9053,7610.991,7610.282,42.85038,117839.4,9527395.0,1.0,1.0,1.0,7610.282,7610.282,7610.282,5.249057165256616,0.08545279555515606,4.547962962008379,186.74421023943873,1.3049674999269598,4.264807063710656
56,coords_1Kps_017_0001,6489.701,17.9053,6158.991,6158.526,34.44898,102483.7,8629792.0,1.0,1.0,1.0,6158.526,6158.526,6158.526,5.24199087883774,-0.0549723874498409,4.552386209736603,188.28756490140256,-3.9175354429735165,12.945212071454845
57,coords_1Kps_017_0203,9090.399,0.090216,779.8225,779.8151,31.78007,93689.01,7966512.0,1.0,1.0,1.0,779.8151,779.8151,779.8151,5.195019449928042,-0.1511314291250394,4.710116386476028,192.1604689426411,0.5392675721605116,6.50066151236972
58,coords_1Kps_018_0003,3649.154,1.422778,2177.634,2177.575,8.103743,36830.83,3873414.0,1.0,1.0,1.0,2177.575,2177.575,2177.575,5.178424194863901,-0.14773607632584262,4.437186354467772,211.39587956909276,-6.484744427676546,3.4417781560034193
59,coords_1Kps_018_0106,5588.966,1.31311,3226.551,3226.423,44.82474,132405.0,11040840.0,1.0,1.0,1.0,3226.423,3226.423,3226.423,5.274496079383512,-0.21313325401720462,4.471886726486373,143.9959204554832,-4.043009587556483,10.617249402791218
60,coords_1Kps_018_0207,35008.35,0.1413551,4487.361,4487.114,51.12241,141355.4,11426040.0,1.0,1.0,1.0,4487.114,4487.114,4487.114,5.262538387196661,0.27148196235031374,4.371061146938468,183.17804629981555,-3.05295005309533,1.038434944575182
61,coords_1Kps_018_0405,3509.421,5.216416,2963.265,2963.157,39.02802,118215.8,10001960.0,1.0,1.0,1.0,2963.157,2963.157,2963.157,5.242362895314973,-0.0236271446182581,4.461368535410099,144.65748731899322,-1.035621938137112,12.32402063996236
62,coords_1Kps_019_0004,7482.905,12.02521,6928.927,6928.339,4.085878e-06,1.260293,1268.748,0.01460151,1.0,1.0,101.1642,6928.339,6928.339,5.313372398119357,0.03943544536764643,4.40678592915188,169.9318779000304,14.81883671905041,18.818659414666705
63,coords_1Kps_019_0107,8684.842,0.004196577,37.74389,37.74387,0.0001232367,14.59732,8859.328,0.3583114,1.0,1.0,13.52406,37.74387,37.74387,5.383038113352601,-0.04725572127550226,4.104267593593893,188.28907749983068,15.980048316963689,18.26080233695197
