index,name,k2,K1,rAC,rcat,kg(473K),kg(673K),kg(873K),pg(473K),pg(673K),pg(873K),reff(Tg=473K),reff(Tg=673K),reff(Tg=873K),Fa_theta_plus,Fa_theta_minus,Fa_torsion,Fa_len_plus,Fa_len_minus,Fb_theta_plus,Fb_theta_minus,Fb_torsion,Fb_len_plus,Fb_len_minus,O_theta_plus,O_theta_minus,O_torsion,O_len_plus,O_len_minus,center_torsion_plus,center_torsion_minus,center_height,center_r_plus,center_r_minus
90,coords_1Kps_027_0507,3434.073,0.0495557,168.3282,168.3279,31.17084,105565.2,9590047.0,1.0,1.0,1.0,168.3279,168.3279,168.3279,3.436019860079142,-0.10884937193627975,0.4330419390647651,5.584235539025155,0.018915889840575684,3.090343304537943,0.25464292264353805,0.46823281014021784,5.433348705844468,-0.1401878700111161,1.2440647729969285,-0.3315700967439948,0.3633220604006565,6.376030003071156,1.1478707140303182,6.1127913620130805,0.1703939153641838,-0.4819784125691709,5.587456806820364,-2.0891190759544553
91,coords_1Kps_028_0002,12316.9,1.934678,8228.016,8227.186,0.0001195223,16.25717,10683.83,0.3496732,1.0,1.0,2876.826,8227.186,8227.186,3.038216592887381,0.14160438015566945,0.3275525847975934,5.339959757675702,-0.0005782767923596666,3.210458749358728,-0.09593911040440273,0.24453684001630813,5.366551151884217,0.03489543824328356,1.0939261672804947,-0.2777648473329079,0.24162217981733994,6.892367415820435,1.3880019417625986,6.245222472916764,0.03796280446049982,0.2460929718376626,5.823899246504645,-2.3372143934099476
92,coords_1Kps_028_0103,5529.759,10.90486,5081.726,5081.41,8.057066,36472.71,3806302.0,1.0,1.0,1.0,5081.41,5081.41,5081.41,2.4130816226648726,0.05760993320815677,0.16506131361456278,5.52860869082659,-0.04771938994484071,3.2973085511482587,0.008257189051941838,0.1429858838940383,5.531178802615399,0.03274492540999718,1.0302067820810195,-0.23728049881042773,0.2816521925432502,6.702713537363771,1.2136310209863774,5.857742060832512,0.42544320420022563,0.0832424137014748,5.815012739822945,-2.392107698496206
93,coords_1Kps_029_0001,19081.65,0.07875888,1444.781,1444.755,24.72439,80812.01,7139329.0,1.0,1.0,1.0,1444.755,1444.755,1444.755,2.9811129795417823,-0.009397434551436934,0.10766844637529624,5.479840575328366,0.007667436656673132,3.54057417183108,0.05519222202631635,0.2494627113281395,5.3406817813672065,0.10661231904632107,1.1738278898529348,-0.3016593456257785,0.2981531653953595,6.708423616611067,1.2220860691027084,6.128715089628443,0.15447018774882126,-0.10870816493831291,5.627254151176638,-2.2179760592633344
94,coords_1Kps_029_0203,15241.78,0.1403351,1941.385,1941.339,123.2984,320291.8,24477950.0,1.0,1.0,1.0,1941.339,1941.339,1941.339,3.2446238892111126,0.508670676728525,0.8763540769274872,5.1713581827955615,-0.24237384725542777,3.5326101839969084,-0.8372245301615793,0.9158613067821095,5.275603682459842,0.11602839834834455,1.6823815206103774,-0.6131117671591895,0.6830848420600443,5.9030645088850955,0.734304265964167,6.024680723297337,0.25850458388224906,0.7061496873109583,4.643994706464239,-1.2340739343054485
95,coords_1Kps_030_0205,437413.1,0.6349563,173979.0,173608.9,1.269626e-09,0.004385217,16.63256,4.570644e-06,0.9999999,1.0,0.7935045,173608.9,173608.9,3.507833408917576,0.0850723530419697,0.2643092664169971,5.22498048170813,-0.11703387701461798,3.3886563320623773,-0.20253401169156415,0.3034337457766989,5.57541107319779,0.05283646528165953,1.276854384162379,-0.3514133005980432,0.3348625440528073,6.4427479422035745,1.2741580220802944,6.27921856064359,0.00396674653599538,0.30275687679885255,5.4908862028328524,-2.0206455540593438
96,coords_1Kps_030_0309,4395.988,1.778673,2853.549,2853.449,69.51271,184115.5,14701140.0,1.0,1.0,1.0,2853.449,2853.449,2853.449,2.9274153201794935,0.01136644778560858,0.4428542447360774,5.360397973471833,0.01760231232213627,2.8765193869788614,-0.14675331640647182,0.49941507156334647,5.39454436494002,-0.009191218302373905,0.8698111594969316,-0.10859197817804628,0.6099060482320009,6.725365254967574,1.7042190675717084,6.217265314243948,0.06591999293563822,0.5169068474487305,5.748545628173287,-2.3389135608674883
97,coords_1Kps_030_0407,5668.293,0.5413935,2042.004,2041.953,29.78781,91919.39,7879797.0,1.0,1.0,1.0,2041.953,2041.953,2041.953,3.791569478078069,0.26875996822031434,0.392687358467136,5.341989559884869,-0.08545976995691484,3.478868419099486,-0.34776253096847953,0.38557699061994355,5.539685220645461,0.014850466736522794,1.3815796408045369,-0.40060102317473806,0.33210187430149357,6.238745672459865,0.9994285885261207,6.271214553797482,0.011970723579781684,0.2748528235921551,5.277315667195082,-1.8779126951424894
98,coords_1Kps_030_0608,558109.6,3.219869,429780.0,427528.4,1.646438e-09,0.005490228,20.22875,5.927159e-06,1.0,1.0,2.534029,427528.4,427528.4,2.694160201829782,-0.00482947926373134,0.10496699843057034,5.469942125278352,0.1995451912609516,2.754834997188055,0.04600264925688524,0.27356433845141453,5.401539661997526,0.07649725562177778,0.744718797842165,-0.07991312179650839,0.3915342915304229,7.097773493759828,1.5640035914133263,6.1906987480708215,0.09248655910876469,-0.27122955185324643,6.055323342962876,-2.6244735573266693
99,coords_1Kps_031_0005,4733.362,0.07876163,358.4016,358.4,46.94122,133637.1,10960350.0,1.0,1.0,1.0,358.4,358.4,358.4,2.9468322576806374,0.0851180479317073,0.6841790982869063,5.4902481649130515,-0.034439757096659473,2.8126092559658553,-0.1810323637375415,0.6723540897786832,5.3791053175582775,-0.03198395873351112,0.9011707615625886,-0.1565968837460574,0.8510120610113586,6.923033865954997,1.501391152311831,6.190783975469136,0.09240128956360172,0.6602936301279096,5.831109447189091,-2.4064979517344605
