SMILES,Accumulation P. aeruginosa PAO1,Accumulation E. coli,ASA,ASA_H,a_acc,a_aro,a_base,a_don,a_hyd,a_nN,a_nO,b_rotN,h_logD,h_logP,h_logS,h_pKa,rings,SlogP,TPSA,h_pavgQ,Weight
S(=O)(=O)(c1cc(O)ccc1)c1cc2c([C@H](C[N+H3])CCC2)cc1,1573,1254,496.98514,496.98514,3,12,1,1,17,1,3,3,0.46982667,-1.8269933,-1.2878503,8.7130127,3,1.88677,82.010002,0.98094308,318.41699
O=S1(=O)c2c(cccc2)CN(c2[n+H]c3c(c(NCC([N+H3])C)c2)cc(C)cc3)CC1,1420,4186,644.28101,644.28101,2,16,4,0,21,4,2,4,0.64052385,-2.8058913,-1.4431158,6.2923164,4,2.0649199,91.190002,1.2283233,412.55798
O=C(NCC[N+H3])[C@@]1(C)[C@@H]2[C@@](C)(c3c([C@@H]([N+H3])C2)cc(C(C)C)cc3)CCC1,1380,1344,566.72577,566.72577,1,6,2,1,21,3,1,5,0.25697377,-5.6284614,1.059634,8.6814709,3,2.0144,84.379997,1.9794406,359.55798
O=[SH0]1c2c(cccc2)CN(c2nc(NCC3(C[N+H3])COC3)c3c(n2)ccc(CO)c3)CC1,1370,3747,688.17578,688.17578,5,16,1,2,21,5,3,6,-1.5486805,-4.4261298,-1.2660706,8.9084234,5,1.4531,134.42999,1.6669663,454.57498
S(=O)(=O)(C)N1CCN(c2[n+H]c3c(c(NCC[N+H3])c2)cccc3)CC1,1360,1450,561.01398,561.01398,2,10,4,0,15,5,2,5,-1.7645431,-5.4053574,0.80277109,6.3440781,3,-0.61070001,94.43,1.2220352,351.47501
[N+H3]C1c2c(-c3c1cccc3)cccc2,1327,617,370.68964,370.68964,0,12,1,0,13,1,0,0,1.0466888,-2.0816844,-0.43215531,8.5547791,3,2.0938001,27.639999,0.9728806,182.246
[N+H3]CC1CCN(c2nc(-c3cc4c(cc3)cccc4)ccn2)CC1,1303,40,564.3728,564.3728,2,16,1,0,19,4,0,3,0.2441543,-1.9245148,-1.850626,9.8878193,4,2.7551,56.66,1.0015249,319.43201
O=C(N)c1c(N[C@H]2[C@@H]([N+H3])CCCC2)cc(Nc2nc(N3CCCC3)ccc2)nn1,1280,3887,648.05896,648.05896,4,12,1,3,16,8,1,6,-1.800545,-4.604805,-0.72589469,9.0899,4,1.2793,136.7,1.062645,397.50699
O=S1(=O)c2c(cccc2)CN(c2nc(NCCC[N+H3])c3sc(C)cc3n2)CC1,1213,3491,641.62402,641.62402,4,15,1,1,18,5,2,5,-1.2073438,-3.5410967,-1.7484835,9.6849918,4,2.10392,102.83,1.9353567,418.56601
O=C1C(c2c3c(n4c2C[C@@H](C[N+H3])CC4)cccc3)=C(c2c3c(n(C)c2)cccc3)C(=O)N1,1193,17,599.33392,599.33392,2,18,1,1,24,4,2,3,1.9834095,-0.30121154,-3.7433634,9.4763746,6,3.13007,83.669998,0.99666667,425.51199
O=S1(=O)c2c(cccc2)CN(c2[n+H]c3c(c(NCC4([N+H3])CC4)c2)cc(C)cc3)CC1,1183,1708,661.2981,661.2981,2,16,4,0,22,4,2,4,0.48333395,-2.9055586,-1.6083328,6.2815309,5,2.2090199,91.190002,1.2197806,424.569
O=S1(=O)c2c(cccc2)CN(c2[n+H]c3c(c(NCC4([N+H3])CCC4)c2)cc(C)cc3)CC1,1173,2455,666.73224,666.73224,2,16,4,0,23,4,2,4,0.58056879,-2.6543872,-1.8329995,6.3180556,5,2.5991199,91.190002,1.2400367,438.59601
Fc1cc2n(C)nc(-c3nc4c(C(=O)NC5CC([N+H3])C5)c[nH]c4nc3)c2cc1,1157,2805,629.02148,629.02148,5,18,1,3,18,7,1,4,-0.67980498,-3.3591692,-1.5936416,9.2974072,5,1.5125999,116.13,1.0021237,380.40698
